Category,Keyword Formula,Generated Keyword,Core Concept / Destination,Search Intent Type
Short Getaways,romantic weekend getaways in [Region/State],Door County,Door County,Transactional (Short-haul escape planning)
Short Getaways,romantic weekend getaways in [Region/State],Willamette Valley,Willamette Valley,Transactional (Short-haul escape planning)
Short Getaways,romantic weekend getaways in [Region/State],Columbia River Gorge,Columbia River Gorge,Transactional (Short-haul escape planning)
Short Getaways,romantic weekend getaways in [Region/State],Outer Hebrides,Outer Hebrides,Transactional (Short-haul escape planning)
Short Getaways,romantic weekend getaways in [Region/State],Scottish Highlands,Scottish Highlands,Transactional (Short-haul escape planning)
Short Getaways,romantic weekend getaways in [Region/State],Cornwall,Cornwall,Transactional (Short-haul escape planning)
Short Getaways,romantic weekend getaways in [Region/State],Cotswolds,Cotswolds,Transactional (Short-haul escape planning)
Short Getaways,romantic weekend getaways in [Region/State],Lake District,Lake District,Transactional (Short-haul escape planning)
Short Getaways,romantic weekend getaways in [Region/State],Bavaria,Bavaria,Transactional (Short-haul escape planning)
Short Getaways,romantic weekend getaways in [Region/State],Provence,Provence,Transactional (Short-haul escape planning)
Short Getaways,romantic weekend getaways in [Region/State],Loire Valley,Loire Valley,Transactional (Short-haul escape planning)
Short Getaways,romantic weekend getaways in [Region/State],Alsace,Alsace,Transactional (Short-haul escape planning)
Short Getaways,romantic weekend getaways in [Region/State],Algarve,Algarve,Transactional (Short-haul escape planning)
Short Getaways,romantic weekend getaways in [Region/State],Andalusia,Andalusia,Transactional (Short-haul escape planning)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book overwater bungalows cheap couples,overwater bungalows,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book private pool villas cheap couples,private pool villas,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book first class flights cheap couples,first class flights,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book business class flights cheap couples,business class flights,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book 5-star resorts cheap couples,5-star resorts,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book private yacht charters cheap couples,private yacht charters,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book helicopter tours cheap couples,helicopter tours,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book Michelin star dining cheap couples,Michelin star dining,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book hot air balloon rides cheap couples,hot air balloon rides,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book private safaris cheap couples,private safaris,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book thermal spa resorts cheap couples,thermal spa resorts,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book castle stays cheap couples,castle stays,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book luxury train travel cheap couples,luxury train travel,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book private beach dinners cheap couples,private beach dinners,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book VIP airport lounges cheap couples,VIP airport lounges,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book private island resorts cheap couples,private island resorts,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book penthouse suites cheap couples,penthouse suites,Transactional / Informational (Budget hacking)
Actionable Hacks,how to book [Luxury Experience] cheap couples,how to book private butler services cheap couples,private butler services,Transactional / Informational (Budget hacking)
